timestamp,data
1784218905.930151,"01/01/2000,04:49:27.10,-980.96,5.86,-57.13,0.33,-0.99,0.92,62.40,33.0,51.30,33.11,13.30,985.64,-44.41,-192.50,-472.50,-280.0,1,53.335,"
1784218905.951977,"01/01/2000,04:49:27.12,-1025.88,-30.27,-76.17,0.98,3.71,1.57,63.15,32.55,52.95,33.11,13.05,985.52,-45.02,-17.50,-323.75,-253.75,1,53.335,"
1784218905.968641,"01/01/2000,04:49:27.14,-1006.35,-13.18,88.87,-0.08,2.48,-2.14,62.40,33.75,51.0,33.25,12.93,985.39,-45.87,262.50,-630.0,-262.50,1,53.335,"
1784218905.9859872,"01/01/2000,04:49:27.16,-1006.84,-27.34,21.48,-0.01,1.05,1.79,62.55,33.15,50.40,33.35,13.42,985.03,-46.24,420.0,-656.25,-131.25,1,53.335,"
1784218906.0018926,"01/01/2000,04:49:27.17,-1013.67,-15.63,32.71,1.46,-0.49,-0.29,62.25,34.35,53.40,33.16,14.40,985.15,-45.87,306.25,-647.50,-8.75,1,53.335,"
1784218906.0312119,"01/01/2000,04:49:27.19,-999.51,-21.00,57.13,-1.76,1.34,1.60,61.80,29.55,53.40,33.25,14.52,985.64,-45.26,-52.50,-481.25,-323.75,1,53.335,"
1784218906.034726,"01/01/2000,04:49:27.21,-1026.37,-10.25,8.79,0.85,-1.06,-4.63,61.80,29.55,53.40,32.97,14.15,985.76,-44.90,-140.0,-577.50,-175.0,1,53.335,"
1784218906.0590534,"01/01/2000,04:49:27.23,-998.05,-25.88,82.03,1.25,-0.44,0.69,62.70,32.55,51.75,33.06,13.54,985.52,-45.14,-78.75,-647.50,-262.50,1,53.335,"
1784218906.0784335,"01/01/2000,04:49:27.25,-1031.25,-41.50,-61.04,0.30,-0.10,-0.30,63.60,31.35,51.75,33.35,13.79,985.27,-45.87,306.25,-840.0,-323.75,1,53.335,"
1784218906.0974572,"01/01/2000,04:49:27.27,-1024.90,-23.44,5.86,-1.17,-1.73,-3.51,61.65,33.45,51.30,33.16,14.40,985.52,-46.12,350.0,-498.75,-157.50,1,53.335,"
1784218906.1113431,"01/01/2000,04:49:27.28,-1021.48,-32.23,-6.84,0.32,1.18,-1.71,61.35,33.15,52.35,33.35,14.52,985.39,-45.63,376.25,-411.25,-210.0,1,53.335,"
1784218906.1322799,"01/01/2000,04:49:27.30,-1023.44,-16.11,-25.88,1.69,-0.54,0.30,61.35,33.15,52.35,33.30,14.15,985.27,-45.14,140.0,-402.50,-166.25,1,53.335,"
1784218906.1538107,"01/01/2000,04:49:27.32,-1000.0,-46.88,124.51,-0.77,-1.08,-0.69,61.95,31.80,51.30,32.97,13.54,985.76,-45.14,-148.75,-857.50,-306.25,1,53.335,"
1784218906.1677313,"01/01/2000,04:49:27.34,-996.09,-31.74,32.71,-0.29,1.47,-0.12,63.30,31.95,51.60,33.11,13.79,985.64,-45.75,131.25,-813.75,-131.25,1,53.335,"
1784218906.2054658,"01/01/2000,04:49:27.37,-1012.70,-8.79,-48.83,2.64,-0.79,-0.60,62.25,33.60,51.15,33.25,14.27,985.03,-45.87,490.0,-787.50,-96.25,1,53.335,"
1784218906.2297828,"01/01/2000,04:49:27.40,-1035.64,-3.91,71.29,0.60,-1.27,-1.66,63.15,33.45,53.25,33.11,14.40,985.64,-45.51,210.0,-638.75,-96.25,1,53.335,"
1784218906.2354712,"01/01/2000,04:49:27.41,-999.51,-22.95,-26.37,1.25,0.84,-0.78,63.15,33.45,53.25,33.11,13.79,985.76,-45.02,0.0,-796.25,-271.25,1,53.335,"
1784218906.2621348,"01/01/2000,04:49:27.43,-1027.83,14.16,-40.53,2.81,-2.14,3.25,62.55,32.40,53.10,33.25,13.66,985.52,-45.02,78.75,-822.50,-297.50,1,53.335,"
1784218906.299069,"01/01/2000,04:49:27.47,-1018.07,-8.30,17.09,0.76,0.75,-1.98,63.60,32.55,52.95,33.25,14.52,985.27,-46.12,341.25,-682.50,-236.25,1,53.335,"
1784218906.329608,"01/01/2000,04:49:27.49,-1041.99,-22.46,47.36,-0.15,1.07,0.92,62.25,34.80,51.90,33.25,14.03,985.03,-45.99,245.0,-595.0,-306.25,1,53.335,"
1784218906.34481,"01/01/2000,04:49:27.51,-1018.55,-22.95,11.72,-0.76,0.82,-1.92,63.0,31.65,51.60,32.97,13.91,985.27,-45.51,148.75,-787.50,-288.75,1,53.335,"
1784218906.38319,"01/01/2000,04:49:27.55,-1004.88,-34.18,74.71,-0.63,-0.15,-0.02,63.0,32.40,52.35,33.35,14.15,985.52,-45.63,192.50,-866.25,-157.50,1,53.335,"
1784218906.3991919,"01/01/2000,04:49:27.57,-1017.58,8.79,71.78,-0.18,1.38,-0.82,62.40,31.05,51.30,33.06,14.52,985.03,-45.99,245.0,-612.50,-245.0,1,53.335,"
1784218906.4176116,"01/01/2000,04:49:27.59,-986.33,-25.88,-6.35,1.50,-0.43,1.50,62.40,33.45,52.20,33.44,14.40,985.52,-46.24,306.25,-542.50,-280.0,1,53.335,"
1784218906.4444463,"01/01/2000,04:49:27.61,-1019.04,-10.25,65.92,2.98,2.10,0.0,61.80,33.15,50.40,33.25,14.15,985.64,-45.87,262.50,-717.50,-323.75,1,53.335,"
1784218906.4720802,"01/01/2000,04:49:27.64,-1021.00,-43.95,-1.95,-0.69,-0.18,1.69,63.0,32.40,51.90,33.11,14.40,985.64,-45.14,-87.50,-840.0,-218.75,1,53.335,"
1784218906.4963078,"01/01/2000,04:49:27.66,-1022.46,-17.09,8.79,2.40,-1.31,0.88,63.15,32.55,52.20,33.11,14.64,985.88,-45.38,-52.50,-717.50,-78.75,1,53.335,"
